Rk,Team,Overall_WScore,Overall_LScore,Home_WScore,Home_LScore,Road_WScore,Road_LScore
1,Phoenix Suns,64,18,32,9,32,9
2,Memphis Grizzlies,56,26,30,11,26,15
3,Golden State Warriors,53,29,31,10,22,19
4,Miami Heat,53,29,29,12,24,17
5,Dallas Mavericks,52,30,29,12,23,18
6,Boston Celtics,51,31,28,13,23,18
7,Milwaukee Bucks,51,31,27,14,24,17
8,Philadelphia 76ers,51,31,24,17,27,14
9,Utah Jazz,49,33,29,12,20,21
10,Denver Nuggets,48,34,23,18,25,16
11,Toronto Raptors,48,34,24,17,24,17
12,Chicago Bulls,46,36,27,14,19,22
13,Minnesota Timberwolves,46,36,26,15,20,21
14,Brooklyn Nets,44,38,20,21,24,17
15,Cleveland Cavaliers,44,38,25,16,19,22
16,Atlanta Hawks,43,39,27,14,16,25
17,Charlotte Hornets,43,39,22,19,21,20
18,Los Angeles Clippers,42,40,25,16,17,24
19,New York Knicks,37,45,17,24,20,21
20,New Orleans Pelicans,36,46,19,22,17,24
21,Washington Wizards,35,47,21,20,14,27
22,San Antonio Spurs,34,48,16,25,18,23
23,Los Angeles Lakers,33,49,21,20,12,29
24,Sacramento Kings,30,52,16,25,14,27
25,Portland Trail Blazers,27,55,17,24,10,31
26,Indiana Pacers,25,57,16,25,9,32
27,Oklahoma City Thunder,24,58,12,29,12,29
28,Detroit Pistons,23,59,13,28,10,31
29,Orlando Magic,22,60,12,29,10,31
30,Houston Rockets,20,62,11,30,9,32
